Subject	SelectionOrderAtt	ImId	correctVariant(s)	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
01-043-P	0	2	incorrect	"2,-1,"	"1465.9,1470.73,"	-1
01-043-P	1	3	correct	"7,-1,"	"1461.37,1462.8,1465.5,1471.9,1473.8,1479.33,1482.67,"	24.8333
01-043-P	0	4	incorrect	"3,-1,"	"1463.7,1476.57,1477.27,"	-1
01-043-P	0	5	incorrect	"4,-1,"	"1466.4,1469.83,1480.43,1483.73,"	-1
01-043-P	0	6	incorrect	"2,-1,"	"1461.2,1474.7,"	-1
01-043-P	0	7	incorrect	"3,-1,"	"1464.27,1464.47,1475.23,"	-1
01-043-P	0	1	MasterImage	"12,-1,"	"1487.37,1488.43,1490.03,1490.97,1492.43,1494.07,1495.83,1499.8,1500.6,1504.57,1504.77,1507.07,"	-1
01-043-P	0	2	incorrect	"3,-1,"	"1487.17,1489.1,1489.37,"	-1
01-043-P	0	3	incorrect	"4,2,"	"1489.67,1490.43,1490.67,1495,1510.83,1511.03,"	-1
01-043-P	0	4	incorrect	"4,-1,"	"1491.4,1491.6,1491.87,1493.57,"	-1
01-043-P	0	5	incorrect	"9,-1,"	"1486.5,1495.23,1495.6,1496.37,1496.63,1499.4,1501.37,1501.6,1505.93,"	-1
01-043-P	0	6	incorrect	"1,-1,"	"1494.6,"	-1
01-043-P	1	7	correct	"9,-1,"	"1493.03,1497.83,1498.63,1502.27,1503.07,1506.7,1507.93,1508.53,1509.43,"	23.9333
01-043-P	0	1	MasterImage	"14,-1,"	"1511.33,1511.53,1512.57,1514.43,1514.83,1516.5,1517.87,1518.03,1521,1524.77,1524.97,1529.1,1529.33,1532.63,"	-1
01-043-P	0	2	incorrect	"3,-1,"	"1519.87,1531.07,1531.73,"	-1
01-043-P	0	3	incorrect	"2,-1,"	"1521.8,1525.73,"	-1
01-043-P	1	4	correct	"10,-1,"	"1513.03,1515.3,1522.2,1523.67,1524.27,1526.43,1532.93,1533.17,1533.67,1534.17,"	24.9667
01-043-P	0	5	incorrect	"4,-1,"	"1519.13,1527.2,1528.2,1530.27,"	-1
01-043-P	0	6	incorrect	"4,-1,"	"1517.13,1517.3,1526.77,1534.6,"	-1
01-043-P	0	7	incorrect	"3,-1,"	"1513.77,1515.57,1518.5,"	-1
01-043-P	0	1	MasterImage	"7,-1,"	"1537.93,1538.1,1538.43,1540.5,1541.6,1544.6,1544.8,"	-1
01-043-P	0	2	incorrect	"1,-1,"	"1545.8,"	-1
01-043-P	0	3	incorrect	"5,-1,"	"1537.63,1538.97,1539.57,1540.73,1542.33,"	-1
01-043-P	0	4	incorrect	"1,-1,"	"1542.93,"	-1
01-043-P	1	5	correct	"2,-1,"	"1545.4,1546.43,"	11.8333
01-043-P	0	6	incorrect	"4,2,"	"1537.3,1543.9,1547.37,1547.57,1549.7,1549.97,"	-1
01-043-P	0	7	incorrect	"1,-1,"	"1543.53,"	-1
01-043-P	0	1	MasterImage	"12,-1,"	"1550.8,1552.07,1552.37,1554.73,1554.9,1555.27,1559.93,1560.2,1563.87,1565.87,1566.03,1566.4,"	-1
01-043-P	1	2	correct	"8,-1,"	"1553.4,1553.97,1554.43,1555.83,1561.23,1565.3,1566.73,1567.1,"	19.0666
01-043-P	0	3	incorrect	"1,-1,"	"1552.93,"	-1
01-043-P	0	4	incorrect	"1,-1,"	"1551.33,"	-1
01-043-P	0	5	incorrect	"9,1,"	"1557.23,1560.63,1560.87,1562.6,1562.8,1563.3,1564.73,1567.5,1567.7,1569.73,"	-1
01-043-P	0	6	incorrect	"4,-1,"	"1550.17,1558,1558.23,1559.17,"	-1
01-043-P	0	7	incorrect	"2,-1,"	"1561.5,1561.87,"	-1
01-043-P	0	1	MasterImage	"12,-1,"	"1570.93,1571.27,1573.87,1576.83,1580.27,1580.77,1583.7,1585.47,1587.6,1591.67,1593.43,1593.63,"	-1
01-043-P	0	2	incorrect	"14,-1,"	"1570.6,1572.83,1573.03,1573.53,1578.33,1578.5,1585.1,1585.27,1589.5,1590.47,1592.1,1592.57,1594.77,1595.83,"	-1
01-043-P	1	3	correct	"12,2,"	"1574.47,1574.67,1576.33,1577.73,1584.57,1584.77,1586.5,1588.77,1589.17,1591.17,1595.4,1596.67,1600.1,1600.33,"	29.3334
01-043-P	0	4	incorrect	"4,-1,"	"1578.93,1581.27,1581.6,1582.3,"	-1
01-043-P	0	5	incorrect	"5,-1,"	"1570.23,1589.8,1597.47,1597.73,1599.07,"	-1
01-043-P	0	6	incorrect	"4,-1,"	"1583.23,1584.37,1586.67,1588.47,"	-1
01-043-P	0	7	incorrect	"1,-1,"	"1582.5,"	-1
01-043-P	0	1	MasterImage	"9,-1,"	"1600.6,1600.77,1601.03,1601.77,1602.07,1602.83,1604.73,1607.4,1608.03,"	-1
01-043-P	0	2	incorrect	"3,-1,"	"1601.3,1606.63,1608.27,"	-1
01-043-P	0	3	incorrect	"3,-1,"	"1602.33,1602.53,1606.43,"	-1
01-043-P	0	4	incorrect	"2,-1,"	"1605.8,1606.23,"	-1
01-043-P	0	5	incorrect	"1,-1,"	"1604,"	-1
01-043-P	0	6	incorrect	"1,1,"	"1603.37,1611.57,"	-1
01-043-P	1	7	correct	"5,-1,"	"1604.93,1605.1,1605.47,1608.83,1609.3,"	10.4667
01-043-P	0	1	MasterImage	"10,-1,"	"1612.4,1613.5,1613.9,1615.03,1615.27,1615.6,1616.6,1619.3,1619.53,1622.73,"	-1
01-043-P	0	2	incorrect	"3,-1,"	"1621.2,1623.47,1623.67,"	-1
01-043-P	0	3	incorrect	"4,1,"	"1612.07,1613.23,1620.03,1620.7,1628.17,"	-1
01-043-P	0	4	incorrect	"4,-1,"	"1614.37,1614.53,1615.9,1617.1,"	-1
01-043-P	1	5	correct	"2,-1,"	"1621.63,1624.13,"	15.6
01-043-P	0	6	incorrect	"5,-1,"	"1618.2,1618.77,1620.2,1625.13,1625.77,"	-1
01-043-P	0	7	incorrect	"1,-1,"	"1617.5,"	-1
01-043-P	0	1	MasterImage	"12,-1,"	"1628.77,1629.1,1630.87,1632.1,1632.43,1633.4,1634.33,1636.07,1636.23,1637.83,1640.23,1641.8,"	-1
01-043-P	1	2	correct	"9,-1,"	"1638.57,1638.8,1639.23,1639.83,1640.9,1641.53,1643.13,1643.3,1644.17,"	17
01-043-P	0	3	incorrect	"3,-1,"	"1629.93,1630.1,1630.47,"	-1
01-043-P	0	4	incorrect	"3,-1,"	"1631.57,1632.8,1633.03,"	-1
01-043-P	0	5	incorrect	"5,1,"	"1636.83,1637.13,1637.47,1643.7,1644.47,1646.2,"	-1
01-043-P	0	6	incorrect	"2,-1,"	"1634.9,1635.13,"	-1
01-043-P	0	7	incorrect	"8,-1,"	"1633.73,1633.93,1635.37,1635.7,1642.03,1642.2,1642.47,1642.7,"	-1
01-043-P	0	1	MasterImage	"29,-1,"	"1647.6,1647.8,1648.53,1649.3,1650.53,1656.87,1657.1,1657.4,1657.67,1658.6,1660.5,1665.77,1670.23,1671.67,1672.1,1676.1,1676.43,1686.43,1689.3,1692.17,1694.03,1694.43,1696.87,1699.43,1699.6,1704.6,1706.33,1709.5,1710.93,"	-1
01-043-P	0	2	incorrect	"9,-1,"	"1647.2,1648.8,1652.67,1660.1,1662.3,1674.8,1675.1,1675.53,1681.03,"	-1
01-043-P	0	3	incorrect	"15,-1,"	"1651.6,1659.43,1672.37,1677.07,1687.4,1695.47,1696.3,1697.9,1698.7,1702.5,1705.77,1707.23,1707.9,1708.33,1708.83,"	-1
01-043-P	0	4	incorrect	"9,-1,"	"1653.43,1672.77,1673.07,1678.87,1679.23,1680.1,1684.93,1687.9,1688.13,"	-1
01-043-P	0	5	incorrect	"12,-1,"	"1646.67,1661.17,1661.37,1662.53,1662.8,1668.07,1668.23,1674.23,1680.6,1681.6,1682.43,1691.13,"	-1
01-043-P	1	6	correct	"15,1,"	"1655.13,1656.07,1658.27,1668.7,1671.03,1677.93,1683.43,1683.63,1690.37,1695.77,1698.07,1703.03,1703.97,1705.43,1711.2,1714.93,"	67.5333
01-043-P	0	7	incorrect	"7,-1,"	"1653.97,1673.27,1679.47,1684.03,1684.2,1688.43,1712.57,"	-1
01-043-P	0	1	MasterImage	"9,-1,"	"1715.77,1716.13,1718,1718.17,1720.7,1723.73,1724.1,1726.03,1730.87,"	-1
01-043-P	0	2	incorrect	"2,-1,"	"1722.7,1724.57,"	-1
01-043-P	1	3	correct	"6,1,"	"1721.77,1721.97,1725,1725.6,1729.07,1730.47,1734.13,"	18.2333
01-043-P	0	4	incorrect	"4,-1,"	"1716.9,1717.07,1719.53,1726.43,"	-1
01-043-P	0	5	incorrect	"5,-1,"	"1723.03,1723.4,1731.6,1731.93,1732.37,"	-1
01-043-P	0	6	incorrect	"6,1,"	"1715.2,1721.17,1721.43,1727.7,1728.6,1728.8,1733.93,"	-1
01-043-P	0	7	incorrect	"8,-1,"	"1717.5,1719.93,1720.1,1726.87,1727.3,1729.33,1729.6,1729.93,"	-1
01-043-P	0	1	MasterImage	"19,-1,"	"1734.6,1736,1736.3,1737.37,1737.6,1738.77,1740.6,1741.57,1741.73,1744.3,1745.9,1746.1,1748.03,1750.47,1752.4,1752.6,1754.93,1755.1,1755.3,"	-1
01-043-P	0	2	incorrect	"2,-1,"	"1735.23,1735.4,"	-1
01-043-P	0	3	incorrect	"5,-1,"	"1734.43,1735.73,1736.63,1737.93,1741.03,"	-1
01-043-P	0	4	incorrect	"6,-1,"	"1739.13,1739.47,1742.33,1743.77,1743.97,1744.87,"	-1
01-043-P	0	5	incorrect	"1,-1,"	"1748.73,"	-1
01-043-P	0	6	incorrect	"4,1,"	"1745.63,1747.07,1750.87,1751.03,1759.7,"	-1
01-043-P	1	7	correct	"7,-1,"	"1742.97,1745.1,1753.07,1756.03,1756.2,1757.07,1757.3,"	24.6667
01-043-P	0	1	MasterImage	"10,-1,"	"1760.97,1762.43,1762.73,1766.93,1770.1,1770.4,1772.6,1775.4,1782.13,1786.17,"	-1
01-043-P	0	2	incorrect	"6,-1,"	"1761.97,1777.97,1778.97,1779.5,1782.7,1787.83,"	-1
01-043-P	0	3	incorrect	"4,-1,"	"1763.9,1764.43,1771.4,1773.5,"	-1
01-043-P	1	4	correct	"7,-1,"	"1767.93,1772.27,1773.83,1786.9,1788.83,1789.13,1790.43,"	32.7333
01-043-P	0	5	incorrect	"3,-1,"	"1760.73,1777.03,1778.7,"	-1
01-043-P	0	6	incorrect	"6,1,"	"1760.1,1770.87,1790.63,1790.8,1791.17,1791.4,1793.33,"	-1
01-043-P	0	7	incorrect	"1,-1,"	"1769.13,"	-1
01-043-P	0	1	MasterImage	"23,-1,"	"1794.43,1794.67,1796.23,1797,1797.47,1797.67,1800.5,1801.13,1803.37,1804.2,1806.47,1808.43,1808.67,1808.87,1813.27,1813.53,1815.2,1815.5,1817.37,1817.53,1821.63,1823.73,1825.67,"	-1
01-043-P	0	2	incorrect	"8,-1,"	"1795.47,1799.57,1799.73,1800.1,1801.8,1802.17,1803.6,1818.5,"	-1
01-043-P	0	3	incorrect	"2,-1,"	"1804.87,1819,"	-1
01-043-P	0	4	incorrect	"10,-1,"	"1805.7,1819.43,1819.87,1820.27,1821.2,1822.3,1822.67,1822.93,1823.33,1824.57,"	-1
01-043-P	1	5	correct	"12,-1,"	"1810.63,1810.9,1811.73,1812.07,1812.63,1813.97,1816.2,1816.37,1816.9,1818.23,1825.3,1826.6,"	35.7
01-043-P	0	6	incorrect	"7,-1,"	"1793.83,1809.3,1809.6,1827.17,1827.5,1828.17,1828.43,"	-1
01-043-P	0	7	incorrect	"2,-1,"	"1807.37,1808.03,"	-1
01-043-P	0	1	MasterImage	"12,-1,"	"1830.97,1832.3,1834.37,1834.7,1836.1,1836.4,1837.23,1838.53,1838.77,1839.07,1839.33,1840.43,"	-1
01-043-P	1	2	correct	"8,-1,"	"1838.03,1838.23,1839.6,1839.93,1841.1,1843.43,1844.2,1844.43,"	15.7666
01-043-P	0	3	incorrect	"5,-1,"	"1830.67,1832.77,1834.93,1836.8,1837.73,"	-1
01-043-P	0	4	incorrect	"1,-1,"	"1833.23,"	-1
01-043-P	0	5	incorrect	"5,1,"	"1841.7,1841.87,1843.97,1844.73,1845.8,1846.77,"	-1
01-043-P	0	6	incorrect	"3,-1,"	"1835.77,1842.17,1843.07,"	-1
01-043-P	0	7	incorrect	"2,-1,"	"1833.9,1842.53,"	-1
01-043-P	0	1	MasterImage	"9,-1,"	"1848.13,1848.33,1852.5,1853.07,1853.63,1855.07,1857.6,1857.93,1858.1,"	-1
01-043-P	0	2	incorrect	"2,-1,"	"1847.93,1849.77,"	-1
01-043-P	0	3	incorrect	"1,1,"	"1851.8,1863.4,"	-1
01-043-P	0	4	incorrect	"2,-1,"	"1854.13,1854.7,"	-1
01-043-P	0	5	incorrect	"4,-1,"	"1847.33,1847.73,1859.73,1860.17,"	-1
01-043-P	1	6	correct	"3,-1,"	"1855.47,1857.1,1860.47,"	15.4334
01-043-P	0	7	incorrect	"2,-1,"	"1858.77,1861.37,"	-1
01-043-P	0	1	MasterImage	"18,-1,"	"1863.8,1864.13,1865.23,1868.33,1868.6,1870.53,1872.27,1875.03,1876.27,1876.53,1878,1879,1880.2,1883.53,1885.6,1889.63,1891.8,1893.6,"	-1
01-043-P	0	2	incorrect	"4,-1,"	"1876.9,1888.6,1889,1889.33,"	-1
01-043-P	0	3	incorrect	"6,1,"	"1864.77,1879.33,1879.53,1888.1,1889.87,1892.43,1898.23,"	-1
01-043-P	0	4	incorrect	"6,-1,"	"1865.83,1880.7,1884.4,1887.03,1887.53,1893,"	-1
01-043-P	0	5	incorrect	"2,-1,"	"1874.37,1875.63,"	-1
01-043-P	0	6	incorrect	"5,-1,"	"1867.3,1871.73,1873.6,1890.63,1891.33,"	-1
01-043-P	1	7	correct	"10,-1,"	"1866.5,1882.1,1884.67,1885.13,1886.7,1892.7,1894.13,1894.67,1895.5,1895.9,"	33.7333
01-043-P	0	1	MasterImage	"18,1,"	"1898.7,1898.87,1899.03,1900.2,1900.6,1902.53,1903.6,1905.43,1906.4,1907.8,1908.43,1910.07,1912,1915.83,1916.07,1919,1919.3,1922.33,1925.83,"	-1
01-043-P	0	2	incorrect	"11,-1,"	"1905.77,1906.93,1907.27,1908.87,1909.83,1911.03,1911.23,1912.7,1915.2,1921.77,1922.03,"	-1
01-043-P	0	3	incorrect	"2,1,"	"1902.97,1903.2,1925.6,"	-1
01-043-P	1	4	correct	"5,-1,"	"1901.9,1913.23,1916.57,1920.57,1922.6,"	26.5
01-043-P	0	5	incorrect	"1,-1,"	"1904.63,"	-1
01-043-P	0	6	incorrect	"3,-1,"	"1904.03,1922.93,1923.47,"	-1
01-043-P	0	7	incorrect	"2,-1,"	"1899.63,1917.03,"	-1
01-043-P	0	1	MasterImage	"9,-1,"	"1926.03,1926.53,1927,1927.9,1929.57,1932.17,1933.57,1938.8,1939.33,"	-1
01-043-P	1	2	correct	"10,-1,"	"1931.13,1931.53,1932.87,1934.67,1937.43,1937.63,1939.77,1939.93,1941.27,1941.53,"	17.5667
01-043-P	0	3	incorrect	"2,-1,"	"1927.6,1930.4,"	-1
01-043-P	0	4	incorrect	"2,-1,"	"1928.3,1940.83,"	-1
01-043-P	0	5	incorrect	"3,-1,"	"1935.03,1935.3,1941.93,"	-1
01-043-P	0	6	incorrect	"3,-1,"	"1935.8,1938.13,1938.3,"	-1
01-043-P	0	7	incorrect	"1,-1,"	"1940.37,"	-1
01-043-P	0	1	MasterImage	"16,-1,"	"1945.2,1946.07,1949.03,1951.53,1952.57,1954.67,1957.03,1957.3,1960.87,1962,1962.77,1967.67,1970.37,1970.57,1972.47,1972.67,"	-1
01-043-P	0	2	incorrect	"5,-1,"	"1944.97,1946.63,1959.13,1959.53,1959.77,"	-1
01-043-P	0	3	incorrect	"13,-1,"	"1954.27,1955.7,1960.4,1961.27,1961.5,1962.37,1963.43,1963.83,1964.63,1967.1,1971.4,1971.73,1973,"	-1
01-043-P	0	4	incorrect	"7,-1,"	"1949.6,1949.93,1950.53,1951.07,1968.93,1969.93,1973.93,"	-1
01-043-P	0	5	incorrect	"3,-1,"	"1944.73,1958.47,1974.77,"	-1
01-043-P	1	6	correct	"9,-1,"	"1953.13,1953.87,1956.5,1958,1958.17,1964.9,1966.3,1966.63,1968.43,"	33.1667
01-043-P	0	7	incorrect	"2,-1,"	"1969.67,1975.4,"	-1
01-044-p	0	1	MasterImage	"2,-1,"	"842.167,842.967,"	-1
01-044-p	0	2	incorrect	"-1,-1,"	-1	-1
01-044-p	0	3	incorrect	"-1,-1,"	-1	-1
01-044-p	0	4	incorrect	"-1,-1,"	-1	-1
01-044-p	0	5	incorrect	"1,-1,"	"844.267,"	-1
01-044-p	0	6	incorrect	"1,-1,"	"841.6,"	-1
01-044-p	1	7	correct	"5,-1,"	"843.267,843.467,843.8,844.567,844.833,"	4.5
01-044-p	0	1	MasterImage	"6,-1,"	"847.833,848.167,850.3,852.467,854.633,856.9,"	-1
01-044-p	0	2	incorrect	"-1,-1,"	-1	-1
01-044-p	1	3	correct	"10,-1,"	"847.6,848.867,849.033,851.267,853.533,853.7,855.833,858.033,859.233,859.5,"	14.8333
01-044-p	0	4	incorrect	"1,-1,"	"849.6,"	-1
01-044-p	0	5	incorrect	"2,-1,"	"859.9,860.1,"	-1
01-044-p	0	6	incorrect	"1,-1,"	"858.767,"	-1
01-044-p	0	7	incorrect	"1,-1,"	"847.067,"	-1
01-044-p	0	1	MasterImage	"8,-1,"	"863.5,863.667,864.967,867.2,868.533,869.033,871.133,877.367,"	-1
01-044-p	0	2	incorrect	"3,-1,"	"864.733,865.933,869.533,"	-1
01-044-p	0	3	incorrect	"7,-1,"	"864.2,864.4,870.933,871.533,873.667,875.5,876.867,"	-1
01-044-p	0	4	incorrect	"3,-1,"	"867.433,871.967,872.8,"	-1
01-044-p	0	5	incorrect	"5,-1,"	"862.933,865.4,867.967,868.2,870.4,"	-1
01-044-p	0	6	incorrect	"1,-1,"	"866.367,"	-1
01-044-p	1	7	correct	"7,-1,"	"866.8,872.3,874.367,876.233,878.1,878.3,878.5,"	17.0667
01-044-p	0	1	MasterImage	"11,-1,"	"881.567,885.867,888.533,889,890.9,892.533,894.8,895.5,896.7,902.133,904.033,"	-1
01-044-p	0	2	incorrect	"1,-1,"	"882.967,"	-1
01-044-p	0	3	incorrect	"8,-1,"	"881.4,882.567,885.133,885.333,886.567,886.8,889.8,893.433,"	-1
01-044-p	1	4	correct	"5,-1,"	"884.533,888.167,898.733,903.433,904.7,"	26.1667
01-044-p	0	5	incorrect	"8,-1,"	"883.467,887,889.233,889.533,899.233,899.8,901.467,905.267,"	-1
01-044-p	0	6	incorrect	"13,-1,"	"883.833,887.3,890.5,891.867,892.033,894.3,895.967,897.7,900.1,900.333,900.733,902.833,905.5,"	-1
01-044-p	0	7	incorrect	"5,-1,"	"881,884.2,887.633,898.167,900.933,"	-1
01-044-p	0	1	MasterImage	"16,-1,"	"908.767,908.967,911.467,911.633,912.267,914.633,916.133,916.4,916.967,918.633,921.9,924.5,924.667,925.767,929.767,929.967,"	-1
01-044-p	0	2	incorrect	"5,-1,"	"912.533,914.3,918.267,926.233,926.4,"	-1
01-044-p	0	3	incorrect	"6,-1,"	"910.267,913.733,917.767,917.933,922.4,925.267,"	-1
01-044-p	0	4	incorrect	"3,-1,"	"921.1,922.8,928.233,"	-1
01-044-p	1	5	correct	"6,-1,"	"919.633,919.867,926.8,929.333,930.167,930.367,"	24.6333
01-044-p	0	6	incorrect	"8,-1,"	"908.167,920.167,923.533,923.733,927.533,928.867,930.767,931,"	-1
01-044-p	0	7	incorrect	"3,-1,"	"920.633,923.2,924.1,"	-1
01-044-p	0	1	MasterImage	"16,-1,"	"934.5,934.7,934.933,935.7,935.867,936.3,936.7,938.133,940.467,943.667,943.967,946.233,946.533,947.867,950.433,952.233,"	-1
01-044-p	1	2	correct	"7,-1,"	"944.633,948.333,948.867,951.533,951.8,954.333,954.5,"	22.4667
01-044-p	0	3	incorrect	"6,-1,"	"937.333,937.8,938.933,942.267,950.733,951.033,"	-1
01-044-p	0	4	incorrect	"2,-1,"	"939.533,941.6,"	-1
01-044-p	0	5	incorrect	"5,-1,"	"945,945.967,947.2,947.367,954.8,"	-1
01-044-p	0	6	incorrect	"5,-1,"	"933.833,942.9,943.233,943.4,949.267,"	-1
01-044-p	0	7	incorrect	"2,-1,"	"953.367,954.067,"	-1
01-044-p	0	1	MasterImage	"10,-1,"	"957.9,958.7,959,960.067,960.733,962.867,965.033,968.967,969.667,972.5,"	-1
01-044-p	0	2	incorrect	"1,-1,"	"964.033,"	-1
01-044-p	1	3	correct	"10,-1,"	"959.467,961.733,961.933,963.6,966.1,969.267,969.433,973.067,973.233,973.933,"	19.2
01-044-p	0	4	incorrect	"1,-1,"	"973.667,"	-1
01-044-p	0	5	incorrect	"5,-1,"	"957.3,970.433,970.767,971.867,974.5,"	-1
01-044-p	0	6	incorrect	"5,-1,"	"961.533,967.2,968.6,970.233,974.3,"	-1
01-044-p	0	7	incorrect	"-1,-1,"	-1	-1
01-044-p	0	1	MasterImage	"-1,16,-1,"	"980.167,980.367,982.067,982.333,982.533,984.5,986.2,986.767,988.467,992.333,995.467,997.967,998.2,1002.3,1004.57,1004.77,"	-1
01-044-p	0	2	incorrect	"-1,2,-1,"	"981.7,998.633,"	-1
01-044-p	1	3	incorrect	"-1,7,-1,"	"984.7,985.367,989.667,991.2,991.4,994.133,996.2,"	2.03334
01-044-p	0	4	incorrect	"-1,1,-1,"	"996.967,"	-1
01-044-p	0	5	incorrect	"3,8,-1,"	"977.6,979.133,979.333,999.133,1000.23,1000.47,1001.07,1003.27,1003.43,1004.17,1005.33,"	-1
01-044-p	0	6	incorrect	"-1,2,-1,"	"985.667,1000.7,"	-1
01-044-p	2	7	correct	"-1,5,-1,"	"997.367,1005.67,1006.1,1006.27,1006.53,"	-1
01-044-p	0	1	MasterImage	"21,8,-1,"	"1009.53,1011.37,1014.17,1014.73,1015.8,1017,1018.23,1018.43,1022.53,1024.37,1025.53,1025.73,1027.13,1029.67,1030,1031.1,1032.13,1032.3,1032.77,1034.8,1036.33,1041.13,1041.43,1043.13,1045.67,1047.5,1047.73,1050.87,1051.03,"	-1
01-044-p	0	2	incorrect	"3,3,-1,"	"1020.13,1027.6,1027.77,1039.93,1050.4,1050.67,"	-1
01-044-p	1	3	incorrect	"14,8,-1,"	"1011.77,1012.93,1017.3,1018,1018.87,1019.53,1024.83,1026.37,1026.83,1029.3,1029.5,1031.43,1033.13,1035.17,1040.33,1040.7,1042,1042.33,1044.47,1045.23,1046.6,1046.87,"	30.2
01-044-p	0	4	incorrect	"2,1,-1,"	"1021.8,1023.43,1048.1,"	-1
01-044-p	2	5	correct	"3,2,-1,"	"1020.57,1028.23,1037.3,1049.93,1051.8,"	-1
01-044-p	0	6	incorrect	"6,3,-1,"	"1021.17,1026.2,1026.57,1033.83,1034.6,1035.8,1049.3,1053.1,1053.3,"	-1
01-044-p	0	7	incorrect	"3,1,-1,"	"1021.57,1030.2,1030.83,1048.73,"	-1
01-044-p	0	1	MasterImage	"18,-1,"	"1056.27,1056.47,1057.4,1058.8,1063.3,1063.7,1064.13,1064.8,1069.03,1069.3,1072,1072.33,1072.9,1073.33,1074.77,1075,1076.57,1079.47,"	-1
01-044-p	1	2	correct	"6,-1,"	"1060.07,1067.23,1070.8,1078.3,1080.03,1080.3,"	26.1
01-044-p	0	3	incorrect	"12,-1,"	"1056.03,1057.77,1058,1058.17,1059.53,1061.57,1061.73,1065.97,1066.17,1066.6,1069.83,1071.47,"	-1
01-044-p	0	4	incorrect	"3,-1,"	"1063.1,1068.47,1068.77,"	-1
01-044-p	0	5	incorrect	"7,-1,"	"1060.73,1067.63,1071.13,1072.53,1073.63,1074.37,1080.57,"	-1
01-044-p	0	6	incorrect	"9,-1,"	"1061.1,1065.13,1065.7,1070.2,1073.8,1074,1075.73,1075.9,1077.73,"	-1
01-044-p	0	7	incorrect	"3,-1,"	"1062.43,1062.73,1068.1,"	-1
01-044-p	0	1	MasterImage	"11,-1,"	"1083.17,1083.4,1084.07,1084.33,1085.83,1088.03,1090.6,1090.8,1091.9,1094.57,1094.8,"	-1
01-044-p	0	2	incorrect	"1,-1,"	"1092.4,"	-1
01-044-p	0	3	incorrect	"5,-1,"	"1084.77,1086.7,1088.97,1089.5,1091.47,"	-1
01-044-p	0	4	incorrect	"-1,-1,"	-1	-1
01-044-p	0	5	incorrect	"1,-1,"	"1092.93,"	-1
01-044-p	1	6	correct	"5,-1,"	"1093.77,1095.3,1095.8,1095.97,1096.2,"	14.7667
01-044-p	0	7	incorrect	"1,-1,"	"1096.4,"	-1
01-044-p	0	1	MasterImage	"15,-1,"	"1099.33,1099.53,1100.2,1100.73,1101.07,1102.03,1102.63,1104.4,1104.67,1106.47,1111.1,1114.37,1116.93,1117.1,1118.33,"	-1
01-044-p	0	2	incorrect	"4,-1,"	"1107.8,1108.07,1109.5,1111.77,"	-1
01-044-p	1	3	correct	"14,-1,"	"1099.07,1101.3,1103.03,1103.83,1105.03,1105.2,1106.07,1107.07,1107.4,1108.83,1110.5,1113.4,1118.57,1118.9,"	21.7666
01-044-p	0	4	incorrect	"2,-1,"	"1105.47,1105.73,"	-1
01-044-p	0	5	incorrect	"3,-1,"	"1112.27,1119.13,1119.4,"	-1
01-044-p	0	6	incorrect	"7,-1,"	"1113.03,1114,1115.17,1115.33,1116.7,1117.73,1117.9,"	-1
01-044-p	0	7	incorrect	"-1,-1,"	-1	-1
01-044-p	0	1	MasterImage	"6,3,-1,"	"1121.63,1123.57,1123.97,1128.13,1129.47,1132.8,1137.97,1138.4,1140.63,"	-1
01-044-p	0	2	incorrect	"2,-1,-1,"	"1126.83,1133.9,"	-1
01-044-p	0	3	incorrect	"3,-1,-1,"	"1127.5,1128.93,1130.43,"	-1
01-044-p	0	4	incorrect	"-1,3,-1,"	"1137,1137.6,1138.97,"	-1
01-044-p	1	5	incorrect	"2,1,-1,"	"1132.07,1133.47,1139.4,"	14.5667
01-044-p	0	6	incorrect	"2,-1,-1,"	"1131.27,1134.23,"	-1
01-044-p	2	7	correct	"-1,5,-1,"	"1140.07,1141.2,1141.5,1141.73,1141.97,"	-1
01-044-p	0	1	MasterImage	"15,-1,"	"1144.9,1147.93,1149.57,1151.53,1152.1,1153.87,1157.2,1159.97,1160.17,1163.1,1167.77,1169.7,1172.13,1182.93,1192.43,"	-1
01-044-p	0	2	incorrect	"14,-1,"	"1155.4,1164.23,1169.9,1170.67,1173.9,1177.23,1179.67,1179.87,1181.87,1184.37,1185.87,1187.6,1189.87,1190.07,"	-1
01-044-p	0	3	incorrect	"11,-1,"	"1144.7,1148.1,1150.27,1150.97,1152.8,1152.97,1154.73,1160.93,1168.87,1176.97,1189.43,"	-1
01-044-p	1	4	correct	"16,-1,"	"1165.67,1166.7,1167.03,1171.6,1174.97,1176.5,1176.73,1178.4,1180.7,1183.47,1184.07,1186.3,1188.53,1188.87,1191.6,1193.33,"	51.4667
01-044-p	0	5	incorrect	"7,-1,"	"1155.97,1158.9,1162.13,1162.33,1170.23,1173.37,1173.6,"	-1
01-044-p	0	6	incorrect	"6,-1,"	"1144.33,1156.5,1158.17,1168.47,1193.77,1193.93,"	-1
01-044-p	0	7	incorrect	"2,-1,"	"1175.53,1176.2,"	-1
