SelectionOrderAtt	ImId	correctVariant(s)	Slide_Num	Subject	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
0	5	incorrect	4	01-005-P2 OBI	"-1,-1,"	-1	-1
0	6	incorrect	4	01-005-P2 OBI	"2,-1,"	"947.133,947.3,"	-1
0	7	incorrect	4	01-005-P2 OBI	"2,-1,"	"938.1,946.967,"	-1
0	1	MasterImage	5	01-005-P2 OBI	"8,-1,"	"950.9,952.467,953.4,959.467,961.333,961.933,963.6,963.867,"	-1
0	2	incorrect	5	01-005-P2 OBI	"3,-1,"	"955.5,958.533,960.1,"	-1
0	3	incorrect	5	01-005-P2 OBI	"2,-1,"	"952.8,953.933,"	-1
0	4	incorrect	5	01-005-P2 OBI	"-1,-1,"	-1	-1
1	5	correct	5	01-005-P2 OBI	"6,-1,"	"955.1,956.333,960.667,962.733,964.5,965.6,"	17.6
0	6	incorrect	5	01-005-P2 OBI	"5,-1,"	"950.2,950.567,954.5,965.9,966.167,"	-1
0	7	incorrect	5	01-005-P2 OBI	"-1,-1,"	-1	-1
0	1	MasterImage	6	01-005-P2 OBI	"7,-1,"	"969.7,970.633,971.667,971.967,972.167,973.8,974,"	-1
1	2	correct	6	01-005-P2 OBI	"3,-1,"	"974.367,974.933,975.167,"	8.6
0	3	incorrect	6	01-005-P2 OBI	"1,-1,"	"970.233,"	-1
0	4	incorrect	6	01-005-P2 OBI	"3,-1,"	"971,971.167,972.467,"	-1
0	5	incorrect	6	01-005-P2 OBI	"2,-1,"	"975.667,975.9,"	-1
0	6	incorrect	6	01-005-P2 OBI	"1,-1,"	"968.8,"	-1
0	7	incorrect	6	01-005-P2 OBI	"1,-1,"	"972.967,"	-1
0	1	MasterImage	7	01-005-P2 OBI	"5,-1,"	"978.933,981.667,982.2,983.667,985.267,"	-1
0	2	incorrect	7	01-005-P2 OBI	"-1,-1,"	-1	-1
1	3	correct	7	01-005-P2 OBI	"5,-1,"	"980.867,982.367,984.233,986.1,986.367,"	9.73333
0	4	incorrect	7	01-005-P2 OBI	"-1,-1,"	-1	-1
0	5	incorrect	7	01-005-P2 OBI	"3,-1,"	"978.4,986.633,986.8,"	-1
0	6	incorrect	7	01-005-P2 OBI	"-1,-1,"	-1	-1
0	7	incorrect	7	01-005-P2 OBI	"-1,-1,"	-1	-1
0	1	MasterImage	8	01-005-P2 OBI	"3,-1,"	"989.667,991.1,993.233,"	-1
0	2	incorrect	8	01-005-P2 OBI	"-1,-1,"	-1	-1
0	3	incorrect	8	01-005-P2 OBI	"3,-1,"	"989.5,990.433,992.133,"	-1
0	4	incorrect	8	01-005-P2 OBI	"2,-1,"	"993.933,994.133,"	-1
0	5	incorrect	8	01-005-P2 OBI	"1,-1,"	"989.167,"	-1
0	6	incorrect	8	01-005-P2 OBI	"-1,-1,"	-1	-1
1	7	correct	8	01-005-P2 OBI	"4,-1,"	"994.567,995.167,996.4,996.6,"	8.93333
0	1	MasterImage	9	01-005-P2 OBI	"8,3,-1,"	"999.867,1001.37,1001.53,1004.23,1005.9,1006.07,1007.2,1007.4,1013.33,1016.8,1019.27,"	-1
1	2	incorrect	9	01-005-P2 OBI	"6,3,-1,"	"1003.63,1005.07,1005.43,1006.6,1007.8,1008.53,1012.37,1015.2,1018.3,"	11.2334
0	3	incorrect	9	01-005-P2 OBI	"3,-1,-1,"	"999.5,1000.8,1002.7,"	-1
0	4	incorrect	9	01-005-P2 OBI	"-1,-1,-1,"	-1	-1
2	5	correct	9	01-005-P2 OBI	"1,10,-1,"	"1008.87,1010.93,1011.7,1012.93,1014.6,1016,1016.23,1017.47,1020.03,1020.27,1020.77,"	-1
0	6	incorrect	9	01-005-P2 OBI	"-1,2,-1,"	"1021.47,1021.63,"	-1
0	7	incorrect	9	01-005-P2 OBI	"1,-1,-1,"	"999.133,"	-1
0	1	MasterImage	10	01-005-P2 OBI	"13,-1,-1,"	"1025.23,1027.4,1027.8,1028.47,1029.7,1029.87,1033.4,1035.13,1037.8,1043.97,1045.6,1048.83,1049.03,"	-1
2	2	correct	10	01-005-P2 OBI	"14,1,-1,"	"1030.5,1031.5,1031.73,1033.03,1034.03,1035.63,1037.03,1037.2,1039.73,1040.93,1041.23,1042.23,1050.9,1051.2,1055.43,"	-1
1	3	incorrect	10	01-005-P2 OBI	"23,-1,-1,"	"1024.97,1026.67,1027.2,1028.07,1029.07,1029.47,1030.23,1031.9,1032.2,1032.43,1034.37,1037.4,1039.33,1041.77,1043,1043.2,1045,1046.4,1049.67,1050.47,1052.4,1052.63,1052.93,"	30.5333
0	4	incorrect	10	01-005-P2 OBI	"6,-1,-1,"	"1038.2,1046.87,1047.6,1048.03,1048.43,1050,"	-1
0	5	incorrect	10	01-005-P2 OBI	"3,1,-1,"	"1036.2,1036.77,1053.47,1055.77,"	-1
0	6	incorrect	10	01-005-P2 OBI	"1,-1,-1,"	"1024.47,"	-1
0	7	incorrect	10	01-005-P2 OBI	"-1,-1,-1,"	-1	-1
0	1	MasterImage	11	01-005-P2 OBI	"16,-1,"	"1059.5,1060.17,1060.73,1061.83,1062.93,1063.93,1065.33,1066.53,1067.53,1069.77,1071.73,1072.53,1073.4,1074.87,1076.57,1084.03,"	-1
0	2	incorrect	11	01-005-P2 OBI	"2,-1,"	"1068.13,1068.53,"	-1
0	3	incorrect	11	01-005-P2 OBI	"13,-1,"	"1060.4,1061.37,1062.3,1063.47,1064.67,1065.9,1069.33,1069.57,1070.17,1071.33,1072.17,1072.93,1083.87,"	-1
0	4	incorrect	11	01-005-P2 OBI	"5,-1,"	"1070.53,1071.1,1073.97,1074.2,1075.47,"	-1
0	5	incorrect	11	01-005-P2 OBI	"2,-1,"	"1058.5,1068.8,"	-1
1	6	correct	11	01-005-P2 OBI	"7,-1,"	"1078.13,1080.17,1080.37,1082.1,1083.47,1084.6,1085.4,"	29.1
0	7	incorrect	11	01-005-P2 OBI	"6,-1,"	"1075.97,1077.17,1079.4,1081,1082.87,1085.6,"	-1
0	1	MasterImage	12	01-005-P2 OBI	"14,-1,"	"1089.13,1089.6,1091.1,1091.47,1092.73,1094.4,1094.8,1096.13,1099.43,1099.67,1102.57,1103.63,1106.53,1106.7,"	-1
0	2	incorrect	12	01-005-P2 OBI	"3,-1,"	"1097.27,1097.73,1100.9,"	-1
